Date,Total
2011-4-01,103.17
2011-5-01,103.68
2011-6-01,104.23
2011-7-01,105.22
2011-8-01,105.85
2011-9-01,105.78
2011-10-01,105.74
2011-11-01,105.97
2011-12-01,106.20
2012-1-01,106.30
2012-2-01,106.83
2012-3-01,107.18
2012-4-01,107.58
2012-5-01,107.72
2012-6-01,107.85
2012-7-01,108.23
2012-8-01,108.72
2012-9-01,109.25
2012-10-01,109.28
2012-11-01,109.27
2012-12-01,109.86
2013-1-01,110.40
2013-2-01,111.30
2013-3-01,111.83
2013-4-01,112.02
2013-5-01,112.32
2013-6-01,113.02
2013-7-01,113.36
2013-8-01,113.52
2013-9-01,113.85
2013-10-01,113.82
2013-11-01,114.33
2013-12-01,114.68
2014-1-01,114.97
2014-2-01,115.20
2014-3-01,115.46
2014-4-01,115.68
2014-5-01,115.94
2014-6-01,116.56
2014-7-01,117.23
2014-8-01,117.72
2014-9-01,117.78
2014-10-01,117.96
2014-11-01,118.19
2014-12-01,118.06
2015-1-01,117.64
2015-2-01,118.01
2015-3-01,118.26
2015-4-01,118.66
2015-5-01,118.90
2015-6-01,119.34
2015-7-01,119.95
2015-8-01,120.03
2015-9-01,119.99
2015-10-01,120.59
2015-11-01,121.16
2015-12-01,121.68
2016-1-01,122.79
2016-2-01,123.05
2016-3-01,123.30
2016-4-01,123.51
2016-5-01,124.08
2016-6-01,124.63
2016-7-01,125.49
2016-8-01,125.72
2016-9-01,125.46
2016-10-01,126.33
2016-11-01,126.82
2016-12-01,126.83
2017-1-01,127.49
2017-2-01,127.92
2017-3-01,128.23
2017-4-01,128.56
2017-5-01,128.96
2017-6-01,130.07
2017-7-01,132.04
2017-8-01,131.65
2017-9-01,130.93
2017-10-01,131.64
2017-11-01,132.77
2017-12-01,134.03
2018-1-01,133.50
2018-2-01,133.23
2018-3-01,133.54
2018-4-01,133.60
2018-5-01,134.23
2018-6-01,135.00
2018-7-01,135.48
2018-8-01,136.08
2018-9-01,136.89
2018-10-01,137.35
2018-11-01,136.95
2018-12-01,137.13
2019-1-01,138.98
2019-2-01,139.17
2019-3-01,139.11
2019-4-01,139.95
2019-5-01,140.32
2019-6-01,141.48
2019-7-01,141.40
2019-8-01,140.18
2019-9-01,139.36
2019-10-01,140.33
2019-11-01,140.95
2019-12-01,141.80
2020-1-01,141.46
2020-2-01,140.89
2020-3-01,141.57
2020-4-01,142.58
2020-5-01,142.85
2020-6-01,144.86
2020-7-01,145.47
2020-8-01,146.05
2020-9-01,146.28
2020-10-01,147.83
2020-11-01,148.65
2020-12-01,148.64
2021-1-01,148.87
2021-2-01,149.34
2021-3-01,149.84
2021-4-01,150.00
2021-5-01,150.24
2021-6-01,150.52
2021-7-01,151.02
2021-8-01,151.33
2021-9-01,151.65
2021-10-01,152.20
2021-11-01,152.94
2021-12-01,153.20
2022-1-01,153.14
2022-2-01,153.79
2022-3-01,156.09
2022-4-01,156.93
2022-5-01,158.98
2022-6-01,161.89
2022-7-01,163.64
2022-8-01,164.76
2022-9-01,165.35
2022-10-01,166.97
2022-11-01,166.96
2022-12-01,167.35
2023-1-01,167.98
2023-2-01,169.05
2023-3-01,169.69
2023-4-01,169.98
2023-5-01,169.37
2023-6-01,169.87
2023-7-01,171.06
2023-8-01,172.13
2023-9-01,173.10
2023-10-01,175.29
